subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
15, practice, 2, vibration during choice, 5, 2, 3, 6.jpg, 7.jpg, 0.364707579, 0.582527891, 0.582527891, left, 1, 3, 2, 7.jpg, 6.jpg, 0.7540782999712974, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,1
15, test, 2, vibration during choice, 1, 2, 1, 6.jpg, 5.jpg, 0.332201416, 0.167787674, 0.332201416, right, 2, 2, 1, 6.jpg, 5.jpg, 0.7823038001079112, 2, 0.167787674, 0.332201416, 0.584847675, 0.302670058,0,
15, test, 2, vibration during choice, 2, 2, 4, 6.jpg, 8.jpg, 0.355471562, 0.290755999, 0.290755999, left, 1, 4, 2, 8.jpg, 6.jpg, 0.4285138000268489, 2, 0.176264347, 0.355471562, 0.582595424, 0.290755999,0,
15, test, 2, vibration during choice, 3, 3, 4, 7.jpg, 8.jpg, 0.578794293, 0.275426328, 0.578794293, right, 2, 3, 4, 7.jpg, 8.jpg, 0.5833940000738949, 2, 0.206677553, 0.3490424, 0.578794293, 0.275426328,1
15, test, 2, vibration during choice, 4, 1, 2, 5.jpg, 6.jpg, 0.216551625, 0.358181966, 0.216551625, right, 2, 1, 2, 5.jpg, 6.jpg, 0.9383164000464603, 2, 0.216551625, 0.358181966, 0.569745321, 0.268568422,0,
15, test, 2, vibration during choice, 5, 1, 2, 5.jpg, 6.jpg, 0.21991786, 0.364707579, 0.21991786, right, 2, 1, 2, 5.jpg, 6.jpg, 0.635575299966149, 2, 0.21991786, 0.364707579, 0.582527891, 0.302042001,0,
15, test, 2, vibration during choice, 6, 1, 4, 5.jpg, 8.jpg, 0.209090036, 0.336540119, 0.209090036, right, 2, 1, 4, 5.jpg, 8.jpg, 0.48327109997626394, 2, 0.209090036, 0.3895513, 0.587455063, 0.336540119,0,
15, test, 2, vibration during choice, 7, 4, 2, 8.jpg, 6.jpg, 0.363378709, 0.39060737, 0.363378709, right, 2, 4, 2, 8.jpg, 6.jpg, 1.265335200005211, 2, 0.215508938, 0.39060737, 0.582464681, 0.363378709,0,
15, test, 2, vibration during choice, 8, 4, 1, 8.jpg, 5.jpg, 0.369794555, 0.219868403, 0.219868403, left, 1, 1, 4, 5.jpg, 8.jpg, 0.6412411000346765, 2, 0.219868403, 0.430440014, 0.545053358, 0.369794555,1
15, test, 2, vibration during choice, 9, 4, 2, 8.jpg, 6.jpg, 0.365747455, 0.4539861, 0.4539861, left, 1, 2, 4, 6.jpg, 8.jpg, 0.7913607000373304, 2, 0.223820368, 0.4539861, 0.530883085, 0.365747455,1
15, test, 2, vibration during choice, 10, 3, 1, 7.jpg, 5.jpg, 0.507816291, 0.25320591, 0.507816291, right, 2, 3, 1, 7.jpg, 5.jpg, 0.442206299980171, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
15, test, 2, vibration during choice, 11, 2, 3, 6.jpg, 7.jpg, 0.489357893, 0.494989907, 0.494989907, left, 1, 3, 2, 7.jpg, 6.jpg, 0.3939402000978589, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,1
15, test, 2, vibration during choice, 12, 2, 3, 6.jpg, 7.jpg, 0.484630844, 0.446302549, 0.446302549, left, 1, 3, 2, 7.jpg, 6.jpg, 0.523499200004153, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,0,
15, test, 2, vibration during choice, 13, 1, 2, 5.jpg, 6.jpg, 0.209829698, 0.493007884, 0.209829698, right, 2, 1, 2, 5.jpg, 6.jpg, 0.7582683999789879, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
