subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
43, test, 2, vibration off, 10, 2, 1, 2.jpg, 1.jpg, 0.485995524, 0.25320591, 0.485995524, right, 2, 2, 1, 2.jpg, 1.jpg, 1.6268689000280574, 2, 0.25320591, 0.485995524, 0.507816291, 0.36426522,0,
43, test, 2, vibration off, 11, 2, 4, 2.jpg, 4.jpg, 0.489357893, 0.378430477, 0.378430477, left, 1, 4, 2, 4.jpg, 2.jpg, 0.45428470001206733, 2, 0.272116099, 0.489357893, 0.494989907, 0.378430477,0,
43, test, 2, vibration off, 12, 2, 1, 2.jpg, 1.jpg, 0.484630844, 0.234286576, 0.484630844, right, 2, 2, 1, 2.jpg, 1.jpg, 1.1663444000005256, 2, 0.234286576, 0.484630844, 0.446302549, 0.406276663,1
43, test, 2, vibration off, 13, 1, 3, 1.jpg, 3.jpg, 0.209829698, 0.441292304, 0.441292304, left, 1, 3, 1, 3.jpg, 1.jpg, 1.1759491999982856, 2, 0.209829698, 0.493007884, 0.441292304, 0.408056555,0,
43, test, 2, vibration off, 14, 3, 4, 3.jpg, 4.jpg, 0.424090899, 0.411853134, 0.424090899, right, 2, 3, 4, 3.jpg, 4.jpg, 1.5903348000138067, 2, 0.194746258, 0.496165246, 0.424090899, 0.411853134,1
43, test, 2, vibration off, 15, 3, 4, 3.jpg, 4.jpg, 0.410741903, 0.425420016, 0.425420016, left, 1, 4, 3, 4.jpg, 3.jpg, 1.1773247000237461, 2, 0.254919143, 0.498060855, 0.410741903, 0.425420016,0,
43, test, 2, vibration off, 16, 2, 3, 2.jpg, 3.jpg, 0.473753497, 0.384469806, 0.384469806, left, 1, 3, 2, 3.jpg, 2.jpg, 1.6384614999988116, 2, 0.268446939, 0.473753497, 0.384469806, 0.434571537,1
43, test, 2, vibration off, 17, 3, 4, 3.jpg, 4.jpg, 0.397409959, 0.467037886, 0.467037886, left, 1, 4, 3, 4.jpg, 3.jpg, 1.0321697000181302, 2, 0.260713561, 0.427927548, 0.397409959, 0.467037886,0,
43, test, 2, vibration off, 18, 4, 3, 4.jpg, 3.jpg, 0.458160423, 0.380302803, 0.380302803, left, 1, 3, 4, 3.jpg, 4.jpg, 0.7516621999966446, 2, 0.273570125, 0.42862063, 0.380302803, 0.458160423,1
43, test, 2, vibration off, 19, 4, 1, 4.jpg, 1.jpg, 0.413401572, 0.269452755, 0.269452755, left, 1, 1, 4, 1.jpg, 4.jpg, 1.0803462000039872, 2, 0.269452755, 0.435371131, 0.39026973, 0.413401572,0,
43, test, 2, vibration off, 20, 1, 3, 1.jpg, 3.jpg, 0.268741649, 0.408454439, 0.268741649, right, 2, 1, 3, 1.jpg, 3.jpg, 0.8214199999929406, 2, 0.268741649, 0.425551488, 0.408454439, 0.410963982,1
43, test, 2, vibration off, 21, 4, 1, 4.jpg, 1.jpg, 0.423231262, 0.289598518, 0.423231262, right, 2, 4, 1, 4.jpg, 1.jpg, 1.699328799993964, 2, 0.289598518, 0.44190032, 0.404768464, 0.423231262,0,
43, test, 2, vibration off, 22, 2, 1, 2.jpg, 1.jpg, 0.419525056, 0.299460569, 0.419525056, right, 2, 2, 1, 2.jpg, 1.jpg, 0.9270325000106823, 2, 0.299460569, 0.419525056, 0.422610309, 0.389718337,0,
43, test, 2, vibration off, 23, 3, 1, 3.jpg, 1.jpg, 0.408863932, 0.275422902, 0.275422902, left, 1, 1, 3, 1.jpg, 3.jpg, 0.8913335000106599, 2, 0.275422902, 0.397611772, 0.408863932, 0.39059245,1
43, test, 2, vibration off, 24, 1, 4, 1.jpg, 4.jpg, 0.266650787, 0.398445672, 0.398445672, left, 1, 4, 1, 4.jpg, 1.jpg, 1.4627009999821894, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,0,
43, test, 2, vibration off, 25, 3, 4, 3.jpg, 4.jpg, 0.425425396, 0.3844496, 0.425425396, right, 2, 3, 4, 3.jpg, 4.jpg, 0.8721784999943338, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,0,
43, test, 2, vibration off, 26, 4, 3, 4.jpg, 3.jpg, 0.389570929, 0.44409494, 0.389570929, right, 2, 4, 3, 4.jpg, 3.jpg, 0.7752175999921747, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,1
43, test, 2, vibration off, 27, 4, 1, 4.jpg, 1.jpg, 0.351861927, 0.260664603, 0.260664603, left, 1, 1, 4, 1.jpg, 4.jpg, 0.9202118999965023, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,0,
43, test, 2, vibration off, 28, 4, 1, 4.jpg, 1.jpg, 0.358204472, 0.254900351, 0.254900351, left, 1, 1, 4, 1.jpg, 4.jpg, 0.3766390999953728, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,0,
43, test, 2, vibration off, 29, 3, 1, 3.jpg, 1.jpg, 0.45401501, 0.270226286, 0.270226286, left, 1, 1, 3, 1.jpg, 3.jpg, 0.8161733000015374, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,1
43, test, 2, vibration off, 30, 2, 3, 2.jpg, 3.jpg, 0.434793002, 0.441888062, 0.434793002, right, 2, 2, 3, 2.jpg, 3.jpg, 2.1532233000034466, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,1
43, test, 2, vibration off, 31, 2, 4, 2.jpg, 4.jpg, 0.473135831, 0.401609609, 0.401609609, left, 1, 4, 2, 4.jpg, 2.jpg, 1.270565799990436, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,0,
43, test, 2, vibration off, 32, 3, 2, 3.jpg, 2.jpg, 0.406064085, 0.452508743, 0.452508743, left, 1, 2, 3, 2.jpg, 3.jpg, 0.7321045999997295, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
43, test, 2, vibration off, 33, 4, 2, 4.jpg, 2.jpg, 0.402704902, 0.458621481, 0.458621481, left, 1, 2, 4, 2.jpg, 4.jpg, 0.5474235999863595, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,1
43, test, 2, vibration off, 34, 3, 4, 3.jpg, 4.jpg, 0.409321444, 0.416668377, 0.409321444, right, 2, 3, 4, 3.jpg, 4.jpg, 0.8605579000141006, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
43, test, 2, vibration off, 35, 1, 3, 1.jpg, 3.jpg, 0.22048214, 0.424862287, 0.424862287, left, 1, 3, 1, 3.jpg, 1.jpg, 1.5304617999936454, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
43, test, 2, vibration off, 36, 4, 3, 4.jpg, 3.jpg, 0.428911523, 0.423948221, 0.423948221, left, 1, 3, 4, 3.jpg, 4.jpg, 0.7325551999965683, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,1
43, test, 2, vibration off, 37, 3, 2, 3.jpg, 2.jpg, 0.43257228, 0.456165741, 0.43257228, right, 2, 3, 2, 3.jpg, 2.jpg, 2.261546299996553, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
43, test, 2, vibration off, 38, 3, 4, 3.jpg, 4.jpg, 0.4363313, 0.390289699, 0.4363313, right, 2, 3, 4, 3.jpg, 4.jpg, 0.7086874000087846, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
43, test, 2, vibration off, 39, 2, 1, 2.jpg, 1.jpg, 0.447660961, 0.214118114, 0.447660961, right, 2, 2, 1, 2.jpg, 1.jpg, 0.6558121999842115, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,1
43, test, 2, vibration off, 40, 4, 1, 4.jpg, 1.jpg, 0.401024283, 0.217505069, 0.217505069, left, 1, 1, 4, 1.jpg, 4.jpg, 1.171656599995913, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
43, test, 2, vibration off, 41, 2, 4, 2.jpg, 4.jpg, 0.458162882, 0.370374616, 0.458162882, right, 2, 2, 4, 2.jpg, 4.jpg, 0.7794886000046972, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,1
43, test, 2, vibration off, 42, 3, 4, 3.jpg, 4.jpg, 0.383924023, 0.368787043, 0.368787043, left, 1, 4, 3, 4.jpg, 3.jpg, 1.5325555999879725, 2, 0.255981224, 0.480978505, 0.383924023, 0.368787043,1
43, test, 2, vibration off, 43, 3, 1, 3.jpg, 1.jpg, 0.401205729, 0.288213763, 0.288213763, left, 1, 1, 3, 1.jpg, 3.jpg, 1.3004364000225905, 2, 0.288213763, 0.511556199, 0.401205729, 0.38383929,1
43, test, 2, vibration off, 44, 2, 1, 2.jpg, 1.jpg, 0.530811847, 0.294374293, 0.294374293, left, 1, 1, 2, 1.jpg, 2.jpg, 0.8174494999984745, 2, 0.294374293, 0.530811847, 0.350203513, 0.362927966,0,
43, test, 2, vibration off, 45, 1, 4, 1.jpg, 4.jpg, 0.308994906, 0.367033206, 0.308994906, right, 2, 1, 4, 1.jpg, 4.jpg, 0.6112219000060577, 2, 0.308994906, 0.512913286, 0.336134109, 0.367033206,1
