subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
2, test, 2, vibration off, 29, 4, 2, 8.jpg, 6.jpg, 0.360838495, 0.431125609, 0.360838495, right, 2, 4, 2, 8.jpg, 6.jpg, 0.9906688999908511, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,1
2, test, 2, vibration off, 30, 1, 2, 5.jpg, 6.jpg, 0.231605059, 0.434793002, 0.434793002, left, 1, 2, 1, 6.jpg, 5.jpg, 0.8870605999836698, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
2, test, 2, vibration off, 31, 2, 3, 6.jpg, 7.jpg, 0.473135831, 0.456731037, 0.456731037, left, 1, 3, 2, 7.jpg, 6.jpg, 0.858323400025256, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,0,
2, test, 2, vibration off, 32, 4, 2, 8.jpg, 6.jpg, 0.393803515, 0.452508743, 0.393803515, right, 2, 4, 2, 8.jpg, 6.jpg, 1.103586900018854, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,1
2, test, 2, vibration off, 33, 1, 2, 5.jpg, 6.jpg, 0.193554899, 0.458621481, 0.193554899, right, 2, 1, 2, 5.jpg, 6.jpg, 1.1125758000125643, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
2, test, 2, vibration off, 34, 1, 2, 5.jpg, 6.jpg, 0.204964705, 0.43001655, 0.43001655, left, 1, 2, 1, 6.jpg, 5.jpg, 0.5313021999900229, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,1
2, test, 2, vibration off, 35, 4, 3, 8.jpg, 7.jpg, 0.419699964, 0.424862287, 0.424862287, left, 1, 3, 4, 7.jpg, 8.jpg, 0.9070314000127837, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,0,
2, test, 2, vibration off, 36, 4, 2, 8.jpg, 6.jpg, 0.428911523, 0.447650766, 0.447650766, left, 1, 2, 4, 6.jpg, 8.jpg, 1.4123476999811828, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,0,
2, test, 2, vibration off, 37, 3, 2, 7.jpg, 6.jpg, 0.43257228, 0.456165741, 0.43257228, right, 2, 3, 2, 7.jpg, 6.jpg, 0.7330852000159211, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
2, test, 2, vibration off, 38, 4, 1, 8.jpg, 5.jpg, 0.390289699, 0.221341547, 0.221341547, left, 1, 1, 4, 5.jpg, 8.jpg, 0.6874769999994896, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
